0.0 15.1875 0.0
7.2 15.1875 0.28125
14.4 15.1875 1.125
21.6 15.1875 1.6875
28.8 14.90625 2.25
36.0 14.90625 3.09375
43.2 14.625 3.65625
50.4 14.34375 4.21875
57.6 14.0625 5.0625
64.8 13.78125 5.90625
72.0 13.5 6.46875
79.2 12.9375 7.03125
86.4 12.375 7.875
93.6 11.8125 8.71875
100.8 11.53125 9.28125
108.0 10.6875 9.84375
115.2 10.125 10.125
122.4 9.5625 10.6875
129.6 9.0 11.25
136.8 8.15625 11.8125
144.0 7.3125 12.09375
151.2 6.46875 12.65625
158.4 5.90625 12.9375
165.6 5.0625 13.21875
172.8 3.9375 13.5
180.0 3.09375 13.78125
187.2 2.25 14.0625
194.4 1.6875 14.0625
201.6 0.5625 14.0625
208.8 0.28125 -14.0625
216.0 1.125 -14.0625
223.2 1.96875 -13.78125
230.4 3.09375 -13.78125
237.6 3.9375 -13.5
244.8 4.78125 -13.21875
252.0 5.625 -12.9375
259.2 6.1875 -12.375
266.4 7.03125 -12.09375
273.6 7.875 -11.53125
280.8 8.4375 -10.96875
288.0 9.28125 -10.40625
295.2 9.84375 -9.84375
302.4 10.40625 -9.28125
309.6 10.96875 -8.4375
316.8 11.53125 -7.875
324.0 12.09375 -7.3125
331.2 12.375 -6.1875
338.4 12.65625 -5.625
345.6 13.21875 -4.78125
352.8 13.5 -3.9375
360.0 13.5 -2.8125
367.2 13.78125 -1.96875
374.4 13.78125 -1.125
381.6 13.78125 -0.28125
388.8 13.78125 0.5625
396.0 13.78125 1.40625
403.2 13.5 2.25
410.4 13.5 3.09375
417.6 13.21875 4.21875
424.8 12.65625 5.0625
432.0 12.375 5.90625
439.2 11.8125 6.75
446.4 11.53125 7.3125
453.6 10.96875 8.15625
460.8 10.40625 8.71875
468.0 9.84375 9.5625
475.2 9.28125 10.125
482.4 8.4375 10.6875
489.6 7.59375 11.25
496.8 6.75 11.53125
504.0 6.1875 12.09375
511.2 5.0625 12.375
496.8 6.75 11.53125
504.0 6.1875 12.09375
511.2 5.0625 12.375
518.4 4.21875 12.65625
525.6 3.375 12.9375
532.8 2.53125 13.21875
540.0 1.40625 13.21875
547.2 0.5625 13.21875
554.4 0.28125 -13.21875
561.6 1.125 -13.21875
568.8 2.25 -13.21875
576.0 3.09375 -12.9375
583.2 3.9375 -12.65625
590.4 4.78125 -12.375
597.6 5.625 -12.09375
604.8 6.46875 -11.53125
612.0 7.3125 -10.96875
619.2 8.15625 -10.6875
626.4 8.71875 -9.84375
633.6 9.5625 -9.28125
640.8 10.125 -8.71875
648.0 10.6875 -7.875
655.2 10.96875 -7.3125
662.4 12.375 -6.75
669.6 12.65625 -5.90625
676.8 12.9375 -5.0625
684.0 13.21875 -4.21875
691.2 13.21875 -3.09375
698.4 13.21875 -2.25
705.6 13.21875 -1.40625
712.8 13.21875 -0.5625
720.0 13.21875 0.5625
727.2 12.9375 1.40625
734.4 12.9375 2.53125
741.6 12.65625 3.375
748.8 12.375 4.21875
