11.625 6.953813 1.032788 11.625 -6.953813 -1.032788
11.75 6.952633 1.045673 11.75 -6.952633 -1.045673
11.875 6.951434 1.05858 11.875 -6.951434 -1.05858
12.0 6.950214 1.071509 12.0 -6.950214 -1.071509
12.125 6.948974 1.084458 12.125 -6.948974 -1.084458
12.25 6.947712 1.097426 12.25 -6.947712 -1.097426
12.375 6.946428 1.110413 12.375 -6.946428 -1.110413
12.5 6.945121 1.123417 12.5 -6.945121 -1.123417
12.625 6.94379 1.136438 12.625 -6.94379 -1.136438
12.75 6.942433 1.149475 12.75 -6.942433 -1.149475
12.875 6.941048 1.162527 12.875 -6.941048 -1.162527
13.0 6.939635 1.175594 13.0 -6.939635 -1.175594
13.125 6.93819 1.188674 13.125 -6.93819 -1.188674
13.25 6.936712 1.201767 13.25 -6.936712 -1.201767
13.375 6.935198 1.214872 13.375 -6.935198 -1.214872
13.5 6.933646 1.227989 13.5 -6.933646 -1.227989
13.625 6.932052 1.241116 13.625 -6.932052 -1.241116
13.75 6.930414 1.254252 13.75 -6.930414 -1.254252
13.875 6.928728 1.267395 13.875 -6.928728 -1.267395
14.0 6.926991 1.280546 14.0 -6.926991 -1.280546
14.125 6.9252 1.293703 14.125 -6.9252 -1.293703
14.25 6.923352 1.306863 14.25 -6.923352 -1.306863
14.375 6.921445 1.320029 14.375 -6.921445 -1.320029
14.5 6.919475 1.333196 14.5 -6.919475 -1.333196
14.625 6.91744 1.346365 14.625 -6.91744 -1.346365
14.75 6.915338 1.359535 14.75 -6.915338 -1.359535
14.875 6.913166 1.372704 14.875 -6.913166 -1.372704
15.0 6.910924 1.385871 15.0 -6.910924 -1.385871
15.125 6.90861 1.399035 15.125 -6.90861 -1.399035
15.25 6.906223 1.412196 15.25 -6.906223 -1.412196
15.375 6.903762 1.425351 15.375 -6.903762 -1.425351
15.5 6.901227 1.438501 15.5 -6.901227 -1.438501
15.625 6.898618 1.451643 15.625 -6.898618 -1.451643
15.75 6.895935 1.464778 15.75 -6.895935 -1.464778
15.875 6.89318 1.477904 15.875 -6.89318 -1.477904
16.0 6.890352 1.491021 16.0 -6.890352 -1.491021
16.125 6.887454 1.504129 16.125 -6.887454 -1.504129
16.25 6.884487 1.517227 16.25 -6.884487 -1.517227
16.375 6.881452 1.530315 16.375 -6.881452 -1.530315
16.5 6.878352 1.543392 16.5 -6.878352 -1.543392
16.625 6.875188 1.556459 16.625 -6.875188 -1.556459
16.75 6.871962 1.569515 16.75 -6.871962 -1.569515
16.875 6.868678 1.58256 16.875 -6.868678 -1.58256
17.0 6.865337 1.595595 17.0 -6.865337 -1.595595
17.125 6.861942 1.608618 17.125 -6.861942 -1.608618
17.25 6.858496 1.621631 17.25 -6.858496 -1.621631
17.375 6.855002 1.634635 17.375 -6.855002 -1.634635
17.5 6.851461 1.647628 17.5 -6.851461 -1.647628
17.625 6.847878 1.660613 17.625 -6.847878 -1.660613
17.75 6.844254 1.673589 17.75 -6.844254 -1.673589
17.875 6.840593 1.686557 17.875 -6.840593 -1.686557
18.0 6.836896 1.699518 18.0 -6.836896 -1.699518
18.125 6.833166 1.712472 18.125 -6.833166 -1.712472
18.25 6.829406 1.72542 18.25 -6.829406 -1.72542
18.375 6.825617 1.738363 18.375 -6.825617 -1.738363
18.5 6.821803 1.7513 18.5 -6.821803 -1.7513
18.625 6.817964 1.764234 18.625 -6.817964 -1.764234
18.75 6.814102 1.777164 18.75 -6.814102 -1.777164
18.875 6.81022 1.79009 18.875 -6.81022 -1.79009
19.0 6.806317 1.803015 19.0 -6.806317 -1.803015
19.125 6.802397 1.815937 19.125 -6.802397 -1.815937
19.25 6.798459 1.828859 19.25 -6.798459 -1.828859
19.375 6.794505 1.841781 19.375 -6.794505 -1.841781
19.5 6.790535 1.854703 19.5 -6.790535 -1.854703
19.625 6.78655 1.867626 19.625 -6.78655 -1.867626
19.75 6.782551 1.88055 19.75 -6.782551 -1.88055
19.875 6.778538 1.893477 19.875 -6.778538 -1.893477
20.0 6.77451 1.906405 20.0 -6.77451 -1.906405
20.125 6.770468 1.919336 20.125 -6.770468 -1.919336
20.25 6.766411 1.93227 20.25 -6.766411 -1.93227
20.375 6.76234 1.945207 20.375 -6.76234 -1.945207
20.5 6.758253 1.958148 20.5 -6.758253 -1.958148
20.625 6.754151 1.971092 20.625 -6.754151 -1.971092
20.75 6.750033 1.984039 20.75 -6.750033 -1.984039
20.875 6.745898 1.996991 20.875 -6.745898 -1.996991
21.0 6.741746 2.009947 21.0 -6.741746 -2.009947
21.125 6.737575 2.022908 21.125 -6.737575 -2.022908
21.25 6.733386 2.035872 21.25 -6.733386 -2.035872
21.375 6.729176 2.048842 21.375 -6.729176 -2.048842
21.5 6.724947 2.061814 21.5 -6.724947 -2.061814
21.625 6.720695 2.074791 21.625 -6.720695 -2.074791
21.75 6.716422 2.087771 21.75 -6.716422 -2.087771
21.875 6.712125 2.100754 21.875 -6.712125 -2.100754
22.0 6.707804 2.113741 22.0 -6.707804 -2.113741
22.125 6.703459 2.12673 22.125 -6.703459 -2.12673
22.25 6.699088 2.139723 22.25 -6.699088 -2.139723
22.375 6.694691 2.152719 22.375 -6.694691 -2.152719
22.5 6.690267 2.165717 22.5 -6.690267 -2.165717
22.625 6.685816 2.178717 22.625 -6.685816 -2.178717
22.75 6.681338 2.191719 22.75 -6.681338 -2.191719
22.875 6.67683 2.204723 22.875 -6.67683 -2.204723
23.0 6.672294 2.217728 23.0 -6.672294 -2.217728
23.125 6.667728 2.230733 23.125 -6.667728 -2.230733
23.25 6.663133 2.243739 23.25 -6.663133 -2.243739
23.375 6.658508 2.256744 23.375 -6.658508 -2.256744
23.5 6.653852 2.26975 23.5 -6.653852 -2.26975
23.625 6.649165 2.282754 23.625 -6.649165 -2.282754
23.75 6.644447 2.295759 23.75 -6.644447 -2.295759
23.875 6.639698 2.308762 23.875 -6.639698 -2.308762
24.0 6.634918 2.321763 24.0 -6.634918 -2.321763
24.125 6.630106 2.334764 24.125 -6.630106 -2.334764
24.25 6.625264 2.347762 24.25 -6.625264 -2.347762
24.375 6.620389 2.360758 24.375 -6.620389 -2.360758
24.5 6.615483 2.373751 24.5 -6.615483 -2.373751
24.625 6.610546 2.386742 24.625 -6.610546 -2.386742
24.75 6.605576 2.399729 24.75 -6.605576 -2.399729
24.875 6.600576 2.412712 24.875 -6.600576 -2.412712
25.0 6.595543 2.425691 25.0 -6.595543 -2.425691
25.125 6.590479 2.438666 25.125 -6.590479 -2.438666
